"","hashtag","freq","cat"
"1","#allertameteotos",917,"others"
"2","#toscana",153,"Places"
"3","#carrara",109,"Places"
"4","#maltempo",73,"Weather"
"5","#pisa",55,"Places"
"6","#allertameteolig",49,"Emergency"
"7","#pioggia",44,"Weather"
"8","#versilia",39,"Places"
"9","#elba",34,"Places"
"10","#livorno",26,"Places"
"11","#massa",25,"Places"
"12","#viabilitos",24,"Mobility"
"13","#firenze",19,"Places"
"14","#maremma",17,"Places"
"15","#prato",17,"Places"
"16","#meteo",15,"Weather"
"17","#montignoso",15,"Places"
"18","#portoferraio",15,"Places"
"19","#aulla",13,"Places"
"20","#fipili",13,"Mobility"
"21","#grosseto",12,"Places"
"22","#serchio",12,"Places"
"23","#isoladelba",11,"Places"
"24","#seravezza",11,"Places"
"25","#allertameteo",10,"Emergency"
"26","#carrione",10,"Places"
"27","#lucca",10,"Places"
"28","#alluvionecarrara",9,"Emergency"
"29","#chiavari",9,"Places"
"30","#follonica",9,"Places"
"31","#a2",8,"Emergency"
"32","#cecina",8,"Places"
"33","#genova",8,"Places"
"34","#lunigiana",8,"Places"
"35","#pendolaritoscana",8,"Mobility"
"36","#pistoia",8,"Places"
"37","#pontremoli",8,"Places"
"38","#alluvione",7,"Emergency"
"39","#cisa",7,"Mobility"
"40","#pratopioggia",7,"Places"
"41","#temporali",7,"Weather"
"42","#vento",7,"Weather"
"43","#a1",6,"Mobility"
"44","#a12",6,"Mobility"
"45","#cfr",6,"Institution"
"46","#cornia",6,"Places"
"47","#liguria",6,"Places"
"48","#venturina",6,"Places"
"49","#vigilanzameteotos",6,"Emergency"
"50","#aurelia",5,"Mobility"
"51","#massamarittima",5,"Places"
"52","#quercianella",5,"Places"
"53","#ss1",5,"Mobility"
"54","#ss62",5,"Mobility"
"55","#trenitalia",5,"Institution"
"56","#vecchiano",5,"Places"
"57","#zeri",5,"Places"
"58","#allagamentielba",4,"Emergency"
"59","#monterotondo",4,"Places"
"60","#orbetello",4,"Places"
"61","#protezionecivile",4,"Emergency"
"62","#riomarina",4,"Places"
"63","#rosignano",4,"Places"
"64","#sarzana",4,"Places"
"65","#ss63",4,"Mobility"
"66","#allagamenti",3,"Emergency"
"67","#allertameteoer",3,"Emergency"
"68","#allertameteopm",3,"Emergency"
"69","#arno",3,"Places"
"70","#capalbio",3,"Places"
"71","#castelfiorentino",3,"Places"
"72","#cerreto",3,"Places"
"73","#manciano",3,"Places"
"74","#pietrasanta",3,"Places"
"75","#piombino",3,"Places"
"76","#scarlino",3,"Places"
"77","#scuole",3,"others"
"78","#ss432",3,"Mobility"
"79","#zonarossa",3,"Emergency"
"80","#a11",2,"Mobility"
"81","#allerta",2,"Emergency"
"82","#allertameteolom",2,"Emergency"
"83","#allertameteopie",2,"Emergency"
"84","#amiata",2,"Places"
"85","#arezzo",2,"Places"
"86","#bratto",2,"Places"
"87","#camaiore",2,"Places"
"88","#campibisenzio",2,"Places"
"89","#ceprano",2,"Places"
"90","#chiusi",2,"Places"
"91","#corsica",2,"Places"
"92","#criticità",2,"others"
"93","#crowdsourcing",2,"others"
"94","#elbaallagata",2,"Emergency"
"95","#empoli",2,"Places"
"96","#equi",2,"Places"
"97","#fivizzano",2,"Places"
"98","#fosdinovo",2,"Places"
"99","#fucecchio",2,"Places"
"100","#fulmine",2,"Weather"
"101","#garfagnana",2,"Places"
"102","#ginestra",2,"Places"
"103","#impruneta",2,"Places"
"104","#magra",2,"Places"
"105","#maltempotos",2,"Weather"
"106","#mareggiate",2,"Weather"
"107","#marina",2,"Places"
"108","#montevarchi",2,"Places"
"109","#montopoli",2,"Places"
"110","#ombrone",2,"Places"
"111","#parmignola",2,"Places"
"112","#piazzaalserchio",2,"Places"
"113","#pienapo",2,"Emergency"
"114","#piove",2,"Weather"
"115","#pontedera",2,"Places"
"116","#regione",2,"Institution"
"117","#rupinaro",2,"Places"
"118","#saturnia",2,"Places"
"119","#scandicci",2,"Places"
"120","#siena",2,"Places"
"121","#sorano",2,"Places"
"122","#sp39",2,"Mobility"
"123","#ss12",2,"Mobility"
"124","#valdarno",2,"Places"
"125","#ventoforte",2,"Weather"
"126","#vicarello",2,"Places"
"127","#vigilanza",2,"Weather"
"128","#a15",1,"Mobility"
"129","#abbadia",1,"Places"
"130","#abetone",1,"Places"
"131","#albinia",1,"Places"
"132","#allagamento",1,"Emergency"
"133","#allertamentelig",1,"Emergency"
"134","#allertameteosar",1,"Emergency"
"135","#allertameteosic",1,"Emergency"
"136","#allertemeteo",1,"Emergency"
"137","#alluvionetos",1,"Emergency"
"138","#alluvioni",1,"Emergency"
"139","#arancio",1,"Emergency"
"140","#attività",1,"others"
"141","#barga",1,"Places"
"142","#berceto",1,"Places"
"143","#boccadiserchio",1,"Places"
"144","#bonagente",1,"others"
"145","#brattello",1,"Places"
"146","#buonconvento",1,"Places"
"147","#candia_scurtarola",1,"Places"
"148","#casano",1,"Places"
"149","#cascina",1,"Places"
"150","#castelnuovo",1,"Places"
"151","#castiglione",1,"Places"
"152","#centro",1,"others"
"153","#chianciano",1,"Places"
"154","#chiavariallagata",1,"Emergency"
"155","#chioma",1,"Places"
"156","#codiponte",1,"Places"
"157","#colareta",1,"others"
"158","#collesalvetti",1,"Places"
"159","#colombo",1,"others"
"160","#comunerioelba",1,"Places"
"161","#cortona",1,"Places"
"162","#cri",1,"Institution"
"163","#cronacameteo",1,"Weather"
"164","#cutigliano",1,"Places"
"165","#denunciailpatto",1,"others"
"166","#dicomano",1,"Places"
"167","#difesadelsuolo",1,"others"
"168","#evacuazioni",1,"Emergency"
"169","#famiglie",1,"others"
"170","#fi",1,"Places"
"171","#filattiera",1,"Places"
"172","#gaiaspa",1,"Institution"
"173","#gaib",1,"others"
"174","#galilei",1,"Mobility"
"175","#gragnola",1,"Places"
"176","#grossetano",1,"Places"
"177","#italiainsicura",1,"others"
"178","#lajatico",1,"Places"
"179","#laspezia",1,"Places"
"180","#lazio",1,"Places"
"181","#magliano",1,"Places"
"182","#marinadicarrara",1,"Places"
"183","#mariomtv",1,"Media"
"184","#marsiliana",1,"Places"
"185","#metato",1,"Places"
"186","#meteovaldarno",1,"Places"
"187","#migliarino",1,"Places"
"188","#minucciano",1,"Places"
"189","#monsummano",1,"Places"
"190","#montecatinivaldicecina",1,"Places"
"191","#montepisano",1,"Places"
"192","#montieri",1,"Places"
"193","#mugello",1,"Places"
"194","#mugnone",1,"Places"
"195","#navacchio",1,"Places"
"196","#negozi",1,"others"
"197","#nonabbandonarelacittá",1,"others"
"198","#nubifragio",1,"Weather"
"199","#occupycarrara",1,"Places"
"200","#ordinanza",1,"others"
"201","#paura",1,"others"
"202","#perturbazione",1,"Weather"
"203","#piano",1,"others"
"204","#piemonte",1,"Places"
"205","#piena",1,"Weather"
"206","#piogge",1,"Weather"
"207","#pomarance",1,"Places"
"208","#ponteginori",1,"Places"
"209","#prevenzione",1,"others"
"210","#previsioni",1,"others"
"211","#ripafratta",1,"Places"
"212","#riparbella",1,"Places"
"213","#roma",1,"Places"
"214","#roncobilaccio",1,"Places"
"215","#sanvincenzo",1,"Places"
"216","#sardegna",1,"Places"
"217","#scarperia",1,"Places"
"218","#secchio",1,"others"
"219","#servizi",1,"others"
"220","#sieve",1,"Places"
"221","#socialprociv",1,"Emergency"
"222","#sociaprociv",1,"others"
"223","#sospirodisollievo",1,"others"
"224","#sp10",1,"Mobility"
"225","#sp106",1,"Mobility"
"226","#sp172",1,"Mobility"
"227","#sp38",1,"Mobility"
"228","#sp445",1,"Mobility"
"229","#sp59",1,"Mobility"
"230","#sp63",1,"Mobility"
"231","#sr74",1,"Mobility"
"232","#temporale",1,"Weather"
"233","#trameteo",1,"others"
"234","#treni",1,"Mobility"
"235","#twitter",1,"Social_Media"
"236","#uffici",1,"others"
"237","#uffizi",1,"Institution"
"238","#unaltrastoria",1,"others"
"239","#valdicecina",1,"Places"
"240","#valdicornia",1,"Places"
"241","#verrazzano",1,"Places"
"242","#viareggio",1,"Places"
"243","#villafranca",1,"Places"
"244","#wikiclima",1,"Weather"
"245","#zoagli",1,"Places"
"246","#zubbani",1,"Institution"
